"83 208",
"75 166",
"168 201",
"101 235",
"112 274",
"173 236",
"200 139",
"208 172",
"281 181",
"247 252",
"266 236",
"310 200",
"314 253",
"381 144",
"396 83",
"435 52",
"450 39",
"526 31",
"401 224",
"395 249",
"333 363",
"378 316",
"416 312",
"451 290",
"458 244",
"494 355",
"491 429",
"489 458",
"484 514",
"602 540",
"532 346",
"631 311",
"518 305",
"497 307",
"627 248",
"626 220",
"620 149",
"612 75",
"426 109",
"454 89",
"436 179",
"492 161",
"545 185",
"497 224",
"516 233",
"587 261",
"588 290",
"550 274",
"500 260",
"227 207",

РЕБРА:
"1 2",
"2 3",
"3 11",
"4 6",
"5 6",
"5 10",
"6 9",
"6 10",
"6 50",
"7 8",
"8 12",
"8 13",
"8 50",
"9 50",
"10 11",
"10 13",
"11 12",
"11 13",
"12 13",
"12 14",
"12 19",
"13 20",
"13 22",
"14 25",
"14 39",
"15 16",
"15 39",
"16 17",
"16 40",
"17 37",
"18 38",
"18 40",
"18 42",
"19 20",
"19 25",
"19 41",
"20 23",
"20 25",
"21 22",
"21 23",
"22 25",
"22 27",
"23 24",
"23 26",
"24 25",
"24 34",
"25 35",
"25 44",
"25 49",
"26 27",
"26 31",
"26 34",
"27 28",
"27 30",
"28 29",
"29 30",
"30 31",
"31 33",
"31 47",
"32 35",
"32 47",
"33 34",
"33 48",
"33 49",
"34 49",
"35 36",
"35 46",
"36 37",
"36 43",
"37 38",
"38 43",
"39 40",
"39 42",
"40 42",
"41 42",
"42 43",
"42 44",
"43 45",
"43 46",
"44 45",
"44 49",
"45 48",
"45 49",
"46 47",
"46 48",
"47 48",
"48 49",
